metric,value
es-precision_0.0,0.3035138564901993
es-recall_0.0,0.5875000000000001
es-fscore_0.0,0.36312555644409994
es-precision_0.01,0.3035138564901993
es-recall_0.01,0.5875000000000001
es-fscore_0.01,0.36312555644409994
es-precision_0.02,0.3035138564901993
es-recall_0.02,0.5875000000000001
es-fscore_0.02,0.36312555644409994
es-precision_0.03,0.3035138564901993
es-recall_0.03,0.5875000000000001
es-fscore_0.03,0.36312555644409994
es-precision_0.04,0.3035138564901993
es-recall_0.04,0.5875000000000001
es-fscore_0.04,0.36312555644409994
es-precision_0.05,0.3035138564901993
es-recall_0.05,0.5875000000000001
es-fscore_0.05,0.36312555644409994
es-precision_0.06,0.3035138564901993
es-recall_0.06,0.5875000000000001
es-fscore_0.06,0.36312555644409994
es-precision_0.07,0.3035138564901993
es-recall_0.07,0.5875000000000001
es-fscore_0.07,0.36312555644409994
es-precision_0.08,0.3035138564901993
es-recall_0.08,0.5875000000000001
es-fscore_0.08,0.36312555644409994
es-precision_0.09,0.3035138564901993
es-recall_0.09,0.5875000000000001
es-fscore_0.09,0.36312555644409994
es-precision_0.1,0.3035138564901993
es-recall_0.1,0.5875000000000001
es-fscore_0.1,0.36312555644409994
es-precision_0.11,0.3035138564901993
es-recall_0.11,0.5875000000000001
es-fscore_0.11,0.36312555644409994
es-precision_0.12,0.3035138564901993
es-recall_0.12,0.5875000000000001
es-fscore_0.12,0.36312555644409994
es-precision_0.13,0.3035138564901993
es-recall_0.13,0.5875000000000001
es-fscore_0.13,0.36312555644409994
es-precision_0.14,0.3035138564901993
es-recall_0.14,0.5875000000000001
es-fscore_0.14,0.36312555644409994
es-precision_0.15,0.2785138564901993
es-recall_0.15,0.5625000000000001
es-fscore_0.15,0.3381255564440999
es-precision_0.16,0.2785138564901993
es-recall_0.16,0.5625000000000001
es-fscore_0.16,0.3381255564440999
es-precision_0.17,0.27351385649019927
es-recall_0.17,0.5375000000000001
es-fscore_0.17,0.3297922231107666
es-precision_0.18,0.27351385649019927
es-recall_0.18,0.5375000000000001
es-fscore_0.18,0.3297922231107666
es-precision_0.19,0.27351385649019927
es-recall_0.19,0.5375000000000001
es-fscore_0.19,0.3297922231107666
es-precision_0.2,0.27351385649019927
es-recall_0.2,0.5375000000000001
es-fscore_0.2,0.3297922231107666
es-precision_0.21,0.27351385649019927
es-recall_0.21,0.5375000000000001
es-fscore_0.21,0.3297922231107666
es-precision_0.22,0.27351385649019927
es-recall_0.22,0.5375000000000001
es-fscore_0.22,0.3297922231107666
es-precision_0.23,0.27351385649019927
es-recall_0.23,0.5375000000000001
es-fscore_0.23,0.3297922231107666
es-precision_0.24,0.27351385649019927
es-recall_0.24,0.5375000000000001
es-fscore_0.24,0.3297922231107666
es-precision_0.25,0.27351385649019927
es-recall_0.25,0.5375000000000001
es-fscore_0.25,0.3297922231107666
es-precision_0.26,0.27351385649019927
es-recall_0.26,0.5375000000000001
es-fscore_0.26,0.3297922231107666
es-precision_0.27,0.27351385649019927
es-recall_0.27,0.5375000000000001
es-fscore_0.27,0.3297922231107666
es-precision_0.28,0.27351385649019927
es-recall_0.28,0.5375000000000001
es-fscore_0.28,0.3297922231107666
es-precision_0.29,0.27351385649019927
es-recall_0.29,0.5375000000000001
es-fscore_0.29,0.3297922231107666
es-precision_0.3,0.27351385649019927
es-recall_0.3,0.5375000000000001
es-fscore_0.3,0.3297922231107666
es-precision_0.31,0.27351385649019927
es-recall_0.31,0.5375000000000001
es-fscore_0.31,0.3297922231107666
es-precision_0.32,0.27351385649019927
es-recall_0.32,0.5375000000000001
es-fscore_0.32,0.3297922231107666
