metric,value
es-precision_0.0,0.13475955609792523
es-recall_0.0,0.9333333333333332
es-fscore_0.0,0.234536471387829
es-precision_0.01,0.13475955609792523
es-recall_0.01,0.9333333333333332
es-fscore_0.01,0.234536471387829
es-precision_0.02,0.13475955609792523
es-recall_0.02,0.9333333333333332
es-fscore_0.02,0.234536471387829
es-precision_0.03,0.13475955609792523
es-recall_0.03,0.9333333333333332
es-fscore_0.03,0.234536471387829
es-precision_0.04,0.13475955609792523
es-recall_0.04,0.9333333333333332
es-fscore_0.04,0.234536471387829
es-precision_0.05,0.13475955609792523
es-recall_0.05,0.9333333333333332
es-fscore_0.05,0.234536471387829
es-precision_0.06,0.13475955609792523
es-recall_0.06,0.9333333333333332
es-fscore_0.06,0.234536471387829
es-precision_0.07,0.1324607055232126
es-recall_0.07,0.9333333333333332
es-fscore_0.07,0.23087485522621284
es-precision_0.08,0.1324607055232126
es-recall_0.08,0.9333333333333332
es-fscore_0.08,0.23087485522621284
es-precision_0.09,0.1324607055232126
es-recall_0.09,0.9333333333333332
es-fscore_0.09,0.23087485522621284
es-precision_0.1,0.1324607055232126
es-recall_0.1,0.9333333333333332
es-fscore_0.1,0.23087485522621284
es-precision_0.11,0.1324607055232126
es-recall_0.11,0.9166666666666665
es-fscore_0.11,0.23049606734742495
es-precision_0.12,0.1324607055232126
es-recall_0.12,0.9166666666666665
es-fscore_0.12,0.23049606734742495
es-precision_0.13,0.1324607055232126
es-recall_0.13,0.9166666666666665
es-fscore_0.13,0.23049606734742495
es-precision_0.14,0.1324607055232126
es-recall_0.14,0.9166666666666665
es-fscore_0.14,0.23049606734742495
es-precision_0.15,0.1324607055232126
es-recall_0.15,0.9166666666666665
es-fscore_0.15,0.23049606734742495
es-precision_0.16,0.1324607055232126
es-recall_0.16,0.9166666666666665
es-fscore_0.16,0.23049606734742495
es-precision_0.17,0.1324607055232126
es-recall_0.17,0.9166666666666665
es-fscore_0.17,0.23049606734742495
es-precision_0.18,0.1324607055232126
es-recall_0.18,0.9166666666666665
es-fscore_0.18,0.23049606734742495
es-precision_0.19,0.1324607055232126
es-recall_0.19,0.9166666666666665
es-fscore_0.19,0.23049606734742495
es-precision_0.2,0.1324607055232126
es-recall_0.2,0.9166666666666665
es-fscore_0.2,0.23049606734742495
es-precision_0.21,0.1324607055232126
es-recall_0.21,0.9166666666666665
es-fscore_0.21,0.23049606734742495
es-precision_0.22,0.1324607055232126
es-recall_0.22,0.9166666666666665
es-fscore_0.22,0.23049606734742495
es-precision_0.23,0.1324607055232126
es-recall_0.23,0.9166666666666665
es-fscore_0.23,0.23049606734742495
es-precision_0.24,0.1324607055232126
es-recall_0.24,0.9166666666666665
es-fscore_0.24,0.23049606734742495
es-precision_0.25,0.1324607055232126
es-recall_0.25,0.9166666666666665
es-fscore_0.25,0.23049606734742495
es-precision_0.26,0.1324607055232126
es-recall_0.26,0.9166666666666665
es-fscore_0.26,0.23049606734742495
es-precision_0.27,0.1324607055232126
es-recall_0.27,0.9166666666666665
es-fscore_0.27,0.23049606734742495
es-precision_0.28,0.1324607055232126
es-recall_0.28,0.9166666666666665
es-fscore_0.28,0.23049606734742495
es-precision_0.29,0.1324607055232126
es-recall_0.29,0.9166666666666665
es-fscore_0.29,0.23049606734742495
es-precision_0.3,0.1324607055232126
es-recall_0.3,0.9166666666666665
es-fscore_0.3,0.23049606734742495
es-precision_0.31,0.1324607055232126
es-recall_0.31,0.9166666666666665
es-fscore_0.31,0.23049606734742495
es-precision_0.32,0.1324607055232126
es-recall_0.32,0.9166666666666665
es-fscore_0.32,0.23049606734742495
es-precision_0.33,0.1324607055232126
es-recall_0.33,0.9166666666666665
es-fscore_0.33,0.23049606734742495
es-precision_0.34,0.1324607055232126
es-recall_0.34,0.9166666666666665
es-fscore_0.34,0.23049606734742495
es-precision_0.35,0.1307063195583003
es-recall_0.35,0.8999999999999999
es-fscore_0.35,0.22732146417282176
es-precision_0.36,0.1307063195583003
es-recall_0.36,0.8999999999999999
es-fscore_0.36,0.22732146417282176
es-precision_0.37,0.1307063195583003
es-recall_0.37,0.8999999999999999
es-fscore_0.37,0.22732146417282176
es-precision_0.38,0.12803965289163363
es-recall_0.38,0.8999999999999999
es-fscore_0.38,0.2232163738608349
es-precision_0.39,0.12613489098687172
es-recall_0.39,0.8833333333333333
es-fscore_0.39,0.2197975704420315
es-precision_0.4,0.12613489098687172
es-recall_0.4,0.8833333333333333
es-fscore_0.4,0.2197975704420315
es-precision_0.41,0.12613489098687172
es-recall_0.41,0.8833333333333333
es-fscore_0.41,0.2197975704420315
es-precision_0.42,0.12613489098687172
es-recall_0.42,0.8833333333333333
es-fscore_0.42,0.2197975704420315
es-precision_0.43,0.12613489098687172
es-recall_0.43,0.8833333333333333
es-fscore_0.43,0.2197975704420315
es-precision_0.44,0.12613489098687172
es-recall_0.44,0.8833333333333333
es-fscore_0.44,0.2197975704420315
es-precision_0.45,0.12346822432020507
es-recall_0.45,0.8833333333333333
es-fscore_0.45,0.21569248013004463
es-precision_0.46,0.12346822432020507
es-recall_0.46,0.8833333333333333
es-fscore_0.46,0.21569248013004463
es-precision_0.47,0.12346822432020507
es-recall_0.47,0.8833333333333333
es-fscore_0.47,0.21569248013004463
es-precision_0.48,0.12346822432020507
es-recall_0.48,0.8833333333333333
es-fscore_0.48,0.21569248013004463
es-precision_0.49,0.12171383835529279
es-recall_0.49,0.8666666666666666
es-fscore_0.49,0.21251787695544147
es-precision_0.5,0.12171383835529279
es-recall_0.5,0.8666666666666666
es-fscore_0.5,0.21251787695544147
es-precision_0.51,0.12171383835529279
es-recall_0.51,0.8666666666666666
es-fscore_0.51,0.21251787695544147
es-precision_0.52,0.12171383835529279
es-recall_0.52,0.8666666666666666
es-fscore_0.52,0.21251787695544147
es-precision_0.53,0.11941498778058013
es-recall_0.53,0.8666666666666666
es-fscore_0.53,0.2088177174658083
es-precision_0.54,0.11370070206629443
es-recall_0.54,0.8666666666666666
es-fscore_0.54,0.19856130720939805
es-precision_0.55,0.1083673687329611
es-recall_0.55,0.8666666666666666
es-fscore_0.55,0.18940379805188887
es-precision_0.56,0.10606851815824844
es-recall_0.56,0.8499999999999999
es-fscore_0.56,0.1852838206891271
es-precision_0.57,0.10606851815824844
es-recall_0.57,0.8499999999999999
es-fscore_0.57,0.1852838206891271
es-precision_0.58,0.10606851815824844
es-recall_0.58,0.8499999999999999
es-fscore_0.58,0.1852838206891271
es-precision_0.59,0.10606851815824844
es-recall_0.59,0.8499999999999999
es-fscore_0.59,0.1852838206891271
es-precision_0.6,0.10350441559414589
es-recall_0.6,0.8333333333333333
es-fscore_0.6,0.18083937624468266
es-precision_0.61,0.09705280269092006
es-recall_0.61,0.8333333333333333
es-fscore_0.61,0.1697679476732541
es-precision_0.62,0.09030456390708619
es-recall_0.62,0.7999999999999999
es-fscore_0.62,0.15752047292577936
es-precision_0.63,0.09030456390708619
es-recall_0.63,0.7999999999999999
es-fscore_0.63,0.15752047292577936
es-precision_0.64,0.0857068627576609
es-recall_0.64,0.7666666666666666
es-fscore_0.64,0.1494396648449713
es-precision_0.65,0.0857068627576609
es-recall_0.65,0.7666666666666666
es-fscore_0.65,0.1494396648449713
es-precision_0.66,0.0857068627576609
es-recall_0.66,0.7666666666666666
es-fscore_0.66,0.1494396648449713
es-precision_0.67,0.08314276019355832
es-recall_0.67,0.7666666666666666
es-fscore_0.67,0.14545499051546937
es-precision_0.68,0.08314276019355832
es-recall_0.68,0.7666666666666666
es-fscore_0.68,0.14545499051546937
es-precision_0.69,0.08314276019355832
es-recall_0.69,0.7666666666666666
es-fscore_0.69,0.14545499051546937
es-precision_0.7,0.08314276019355832
es-recall_0.7,0.7166666666666666
es-fscore_0.7,0.14545499051546937
es-precision_0.71,0.08314276019355832
es-recall_0.71,0.7166666666666666
es-fscore_0.71,0.14545499051546937
es-precision_0.72,0.08314276019355832
es-recall_0.72,0.7166666666666666
es-fscore_0.72,0.14545499051546937
es-precision_0.73,0.08314276019355832
es-recall_0.73,0.7166666666666666
es-fscore_0.73,0.14545499051546937
es-precision_0.74,0.08314276019355832
es-recall_0.74,0.7166666666666666
es-fscore_0.74,0.14545499051546937
es-precision_0.75,0.08314276019355832
es-recall_0.75,0.7166666666666666
es-fscore_0.75,0.14545499051546937
es-precision_0.76,0.08314276019355832
es-recall_0.76,0.7166666666666666
es-fscore_0.76,0.14545499051546937
es-precision_0.77,0.08314276019355832
es-recall_0.77,0.7166666666666666
es-fscore_0.77,0.14545499051546937
es-precision_0.78,0.07791199096278911
es-recall_0.78,0.7
es-fscore_0.78,0.13583600752038374
es-precision_0.79,0.07791199096278911
es-recall_0.79,0.7
es-fscore_0.79,0.13583600752038374
es-precision_0.8,0.0759512066490636
es-recall_0.8,0.6833333333333332
es-fscore_0.8,0.13232723559055917
es-precision_0.81,0.0759512066490636
es-recall_0.81,0.6833333333333332
es-fscore_0.81,0.13232723559055917
es-precision_0.82,0.06057664656862117
es-recall_0.82,0.5666666666666667
es-fscore_0.82,0.10508299640161553
es-precision_0.83,0.06057664656862117
es-recall_0.83,0.5666666666666667
es-fscore_0.83,0.10508299640161553
es-precision_0.84,0.0580125440045186
es-recall_0.84,0.5499999999999999
es-fscore_0.84,0.10032109163971079
es-precision_0.85,0.0580125440045186
